Roll,Sem,SubCode,Credit,Grade,Sub_Type
0401CS05,3,EE220,8,BC,CORE
0401CS05,3,HS201,6,BB,HS Elective
0401CS05,3,MA201,8,BB,CORE
0401CS05,4,CS204,6,BB,CORE
0401CS05,4,CS222,6,CC,CORE
0401CS05,4,CS223,3,BB,CORE
0401CS05,4,CS241,7,BC,CORE
0401CS05,4,CS242,5,AB,CORE
0401CS05,4,HS202,6,CC,HS ELECTIVE
0401CS05,4,MA225,8,BB,CORE
0401CS05,4,MA251,6,BB,Elective-Sc.
0401CS05,5,CS301,6,BB,CORE
0401CS05,5,CS331,8,BB,CORE
0401CS05,5,CS341,6,BB,CORE
0401CS05,5,CS342,5,BB,CORE
0401CS05,5,CS343,6,BC,CORE
0401CS05,5,CS344,6,BC,CORE
0401CS05,5,CS345,5,AB,CORE
0401CS05,6,CS302,6,BB,CORE
0401CS05,6,CS346,6,BC,CORE
0401CS05,6,CS347,3,BB,CORE
0401CS05,6,CS348,8,BB,CORE
0401CS05,6,CS362,8,BC,CORE
0401CS05,6,CS399,3,BC,CORE
0401CS05,6,HS331,6,BB,HS Elective
0401CS05,7,CS400,2,AA,CORE
0401CS05,7,CS421,6,BC,CORE
0401CS05,7,CS422,5,AA,CORE
0401CS05,7,CS441,6,AB,DEPARTMENTAL ELECTIVE - II
0401CS05,7,CS461,6,BB,DEPARTMENTAL ELECTIVE - I
0401CS05,7,CS498,10,AB,CORE
0401CS05,7,MA410,6,BC,OPEN ELECTIVE - I
0401CS05,8,CS449,6,BC,Departmental Elective - III
0401CS05,8,CS453,6,AB,Departmental Elective - IV
0401CS05,8,CS499,16,AA,CORE
0401CS05,8,HS441,6,BB,HSS Elective
0401CS05,8,MA412,6,BC,Open Elective - II
0401CS06,1,CH101,8,AB,CORE
0401CS06,1,CH110,3,BB,CORE
0401CS06,1,EE101,8,BB,CORE
0401CS06,1,HS101,6,CC,CORE
0401CS06,1,MA101,8,AA,CORE
0401CS06,1,ME111,7,BB,CORE
0401CS06,1,PH101,6,AA,CORE
0401CS06,1,PH110,3,AA,CORE
0401CS06,2,CH102,6,AA,CORE
0401CS06,2,CS101,6,BC,CORE
0401CS06,2,CS110,3,BB,CORE
0401CS06,2,EE102,4,BC,CORE
0401CS06,2,MA102,8,AB,CORE
0401CS06,2,ME101,8,BB,CORE
0401CS06,2,ME110,3,BB,CORE
0401CS06,2,PH102,6,AB,CORE
0401CS06,3,CS201,9,AA,CORE
0401CS06,3,CS203,6,AA,CORE
0401CS06,3,CS221,6,BB,CORE
0401CS06,3,EE220,8,BB,CORE
0401CS06,3,HS201,6,AB,HS Elective
0401CS06,3,MA201,8,AA,CORE
0401CS06,4,CS204,6,BB,CORE
0401CS06,4,CS222,6,BB,CORE
0401CS06,4,CS223,3,AB,CORE
0401CS06,4,CS241,7,BB,CORE
0401CS06,4,CS242,5,AB,CORE
0401CS06,4,HS202,6,AB,HS ELECTIVE
0401CS06,4,MA214,6,BB,Elective-Sc.
0401CS06,4,MA225,8,AA,CORE
0401CS06,5,CS301,6,AB,CORE
0401CS06,5,CS331,8,BB,CORE
0401CS06,5,CS341,6,AB,CORE
0401CS06,5,CS342,5,AB,CORE
0401CS06,5,CS343,6,AB,CORE
0401CS06,5,CS344,6,AB,CORE
0401CS06,5,CS345,5,AB,CORE
0401CS06,6,CS302,6,AB,CORE
0401CS06,6,CS346,6,AB,CORE
0401CS06,6,CS347,3,AA,CORE
0401CS06,6,CS348,8,AB,CORE
0401CS06,6,CS362,8,AB,CORE
0401CS06,6,CS399,3,BB,CORE
0401CS06,6,HS331,6,BC,HS Elective
0401CS06,7,CS400,2,AB,CORE
0401CS06,7,CS421,6,AB,CORE
0401CS06,7,CS422,5,AB,CORE
0401CS06,7,CS443,6,AB,DEPARTMENTAL ELECTIVE - II
0401CS06,7,CS461,6,AB,DEPARTMENTAL ELECTIVE - I
0401CS06,7,CS498,10,BB,CORE
0401CS06,7,MA410,6,AB,OPEN ELECTIVE - I
0401CS06,8,CS452,6,AB,Departmental Elective - III
0401CS06,8,CS453,6,AB,Departmental Elective - IV
0401CS06,8,CS499,16,AA,CORE
0401CS06,8,HS441,6,BB,HSS Elective
0401CS06,8,MA412,6,BC,Open Elective - II
0401CS07,1,CH101,8,AB,CORE
0401CS07,1,CH110,3,AA,CORE
0401CS07,1,EE101,8,BC,CORE
0401CS07,1,HS101,6,BC,CORE
0401CS07,1,MA101,8,BC,CORE
0401CS07,1,ME111,7,AB,CORE
0401CS07,1,PH101,6,BB,CORE
0401CS07,1,PH110,3,AA,CORE
0401CS07,2,CH102,6,BB,CORE
0401CS07,2,CS101,6,BC,CORE
0401CS07,2,CS110,3,BB,CORE
0401CS07,2,EE102,4,AB,CORE
0401CS07,2,MA102,8,BB,CORE
0401CS07,2,ME101,8,BC,CORE
0401CS07,2,ME110,3,AA,CORE
0401CS07,2,PH102,6,BB,CORE
0401CS07,3,CS201,9,AA,CORE
0401CS07,3,CS203,6,BB,CORE
0401CS07,3,CS221,6,AB,CORE
0401CS07,3,EE220,8,AB,CORE
0401CS07,3,HS201,6,BB,HS Elective
0401CS07,3,MA201,8,BB,CORE
0401CS07,4,CS204,6,AB,CORE
0401CS07,4,CS222,6,BC,CORE
0401CS07,4,CS223,3,AB,CORE
0401CS07,4,CS241,7,BB,CORE
0401CS07,4,CS242,5,AA,CORE
0401CS07,4,HS202,6,AB,HS ELECTIVE
0401CS07,4,MA225,8,AB,CORE
0401CS07,4,MA251,6,BB,Elective-Sc.
0401CS07,5,CS301,6,BB,CORE
0401CS07,5,CS331,8,BB,CORE
0401CS07,5,CS341,6,AB,CORE
0401CS07,5,CS342,5,AB,CORE
0401CS07,5,CS343,6,BB,CORE
0401CS07,5,CS344,6,BB,CORE
0401CS07,5,CS345,5,AB,CORE
0401CS07,6,CS302,6,BC,CORE
0401CS07,6,CS346,6,AB,CORE
0401CS07,6,CS347,3,AA,CORE
0401CS07,6,CS348,8,AB,CORE
0401CS07,6,CS362,8,BB,CORE
0401CS07,6,CS399,3,BB,CORE
0401CS07,6,HS331,6,BC,HS Elective
0401CS07,7,CS400,2,AA,CORE
0401CS07,7,CS421,6,AB,CORE
0401CS07,7,CS422,5,AA,CORE
0401CS07,7,CS443,6,AA,DEPARTMENTAL ELECTIVE - II
0401CS07,7,CS461,6,AB,DEPARTMENTAL ELECTIVE - I
0401CS07,7,CS498,10,AB,CORE
0401CS07,7,MA410,6,AB,OPEN ELECTIVE - I
0401CS07,8,CS452,6,AA,Departmental Elective - IV
0401CS07,8,CS453,6,AA,Departmental Elective - III
0401CS07,8,CS499,16,AA,CORE
0401CS07,8,HS441,6,BC,HSS Elective
0401CS07,8,MA412,6,BB,Open Elective - II
